id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,price_detail__currency
2355488,Project Management Fundamentals,TRUE,7346,4.52863,2940,32,0,455.0,6400.0,INR
1049210,ISO 9001:2015 Quality Management System Auditor Course,TRUE,8502,4.25524,2909,61,0,455.0,2880.0,INR
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,TRUE,20072,4.53756,2895,43,0,455.0,8640.0,INR
399444,The Essential Guide to Entrepreneurship by Guy Kawasaki,TRUE,19740,4.48284,2885,56,0,455.0,6080.0,INR
2124810,Think Strategically and Make Your Ideas a Reality,TRUE,5302,4.39137,2885,33,0,,1280.0,INR
484366,Manage Workplace Stress & Strike a Balance,TRUE,7297,4.36401,2884,27,0,455.0,1280.0,INR
470846,Report Writing Made Simple,TRUE,8832,4.24978,2810,34,0,455.0,2880.0,INR
1518696,Project Management Fundamentals: Run projects effectively,TRUE,29714,4.33481,2819,17,0,455.0,6400.0,INR
358062,Financial Modeling: Build a Complete DCF Valuation Model,TRUE,16888,4.41029,2792,76,0,455.0,6080.0,INR
993480,Seth Godin's Value Creation Master Class,TRUE,8345,4.42569,2789,19,0,,5440.0,INR
1721168,"PMP Exam Cram Session - PMBOK Guide, 6th Edition",TRUE,12236,4.59567,2764,85,1,455.0,6400.0,INR
2256324,Goal Setting at Work: Plan for Success and Reach Your Goals,TRUE,6669,4.42271,2759,19,0,,3200.0,INR
640936,Customer | How to Understand Customer Needs,TRUE,6948,4.39507,2745,20,0,455.0,1920.0,INR
1294188,Apache Kafka Series - Kafka Streams for Data Processing,TRUE,21961,4.56076,2713,76,0,455.0,8320.0,INR
627540,Options Trading - How to Win with Weekly Options,TRUE,14527,4.10714,2686,33,0,455.0,7360.0,INR
429062,New Manager: The Basics and More of Being a Great Leader,TRUE,11251,4.51047,2666,122,0,455.0,8640.0,INR
1479112,Identify & Define the Problem with Business Analysis,TRUE,12207,4.51731,2654,69,0,455.0,8640.0,INR
1395988,CFA® Level 1 (2020) - Complete Financial Reporting &Analysis,TRUE,17134,4.50799,2592,68,0,455.0,8640.0,INR
1240964,"Microsoft Dynamics 365 (CRM, NAV, AX) Intro Training Course",TRUE,14265,4.37042,2578,32,0,546.0,10240.0,INR
2390192,Smart Tips: Communication,TRUE,8633,4.44255,2577,61,0,,6400.0,INR
1393266,Lead Generation Machine: Cold Email B2B Sales Master Course,TRUE,14164,4.39474,2560,58,0,455.0,8640.0,INR
501238,Agile PM 201 - Understanding Agile at a Deeper Level,TRUE,10650,4.49112,2551,46,0,2080.0,8320.0,INR
1623098,The Complete Cryptocurrency Course: More than 5 Courses in 1,TRUE,61795,4.61796,2547,213,0,455.0,8640.0,INR
848664,Options Trading for Rookies:  Understand Options Completely,TRUE,13284,4.67992,2541,64,0,462.0,8640.0,INR
406938,Amazon FBA Course - How to Sell on Amazon MASTERY Course,TRUE,18909,4.42627,2523,64,0,520.0,9600.0,INR
1461614,The Complete Finance Manager Course 2020,TRUE,17758,4.50639,2529,244,0,455.0,8640.0,INR
1426364,Sales Machine: The Sales Training B2B Master Course,TRUE,13359,4.45633,2513,29,0,455.0,8640.0,INR
754028,Accounting - A Brief Introduction - in 60 Minutes,TRUE,26516,4.5875,2506,17,0,520.0,1920.0,INR
1337064,Mastering QuickBooks Online,TRUE,8934,4.40419,2481,31,0,455.0,2880.0,INR
1345240,How To Become A Shopify Expert (From Zero To Hero !),TRUE,25650,4.65579,2475,67,0,455.0,8640.0,INR
2013542,"Advanced Product Management: Vision, Strategy & Metrics",TRUE,14976,4.45714,2465,37,0,455.0,8640.0,INR
1327004,Develop Amazing Social Skills & Connect With People,TRUE,16397,4.40761,2460,28,0,455.0,8640.0,INR
1916470,The Complete Google Sheets Course: Beginner to Advanced!,TRUE,10481,4.52916,2458,66,0,455.0,8640.0,INR
1573504,GDPR In One Hour - The Basic Facts,TRUE,4910,4.24664,2448,6,0,455.0,3200.0,INR
137144,Public Speaking and Presentations Pro: No Beginners Allowed!,TRUE,15664,4.54528,2438,14,0,474.0,8960.0,INR
540270,Taming Big Data with MapReduce and Hadoop - Hands On!,TRUE,20213,4.44318,2435,54,0,455.0,5760.0,INR
1434700,[2020] Recruiting: Talent Acquisition & Hiring (Version 2),TRUE,6806,4.36279,2432,28,0,455.0,4160.0,INR
1774828,Clickfunnels & Sales Funnels MASTERY in 2020 + FREE Funnels!,TRUE,31777,4.58911,2420,38,0,468.0,8640.0,INR
